source_database_name,source_schema_name,source_table_name,source_column_name,target_database_name,target_schema_name,target_table_name,target_column_name
ecommerce_db,acme_corp,campaigns,owner_employee_id,ecommerce_db,acme_corp,employees,employee_id
ecommerce_db,acme_corp,compensation,employee_id,ecommerce_db,acme_corp,employees,employee_id
ecommerce_db,acme_corp,customer_addresses,customer_id,ecommerce_db,acme_corp,customers,customer_id
ecommerce_db,acme_corp,customer_contacts,customer_id,ecommerce_db,acme_corp,customers,customer_id
ecommerce_db,acme_corp,customers,account_owner_id,ecommerce_db,acme_corp,employees,employee_id
ecommerce_db,acme_corp,employee_role_history,employee_id,ecommerce_db,acme_corp,employees,employee_id
ecommerce_db,acme_corp,employee_role_history,job_title_id,ecommerce_db,acme_corp,job_titles,job_title_id
ecommerce_db,acme_corp,employee_training,course_id,ecommerce_db,acme_corp,training_courses,course_id
ecommerce_db,acme_corp,employee_training,employee_id,ecommerce_db,acme_corp,employees,employee_id
ecommerce_db,acme_corp,employees,department_id,ecommerce_db,acme_corp,departments,department_id
ecommerce_db,acme_corp,employees,job_title_id,ecommerce_db,acme_corp,job_titles,job_title_id
ecommerce_db,acme_corp,employees,office_id,ecommerce_db,acme_corp,offices,office_id
ecommerce_db,acme_corp,employees,team_id,ecommerce_db,acme_corp,teams,team_id
ecommerce_db,acme_corp,invoices,customer_id,ecommerce_db,acme_corp,customers,customer_id
ecommerce_db,acme_corp,invoices,order_id,ecommerce_db,acme_corp,orders,order_id
ecommerce_db,acme_corp,invoices,subscription_id,ecommerce_db,acme_corp,subscriptions,subscription_id
ecommerce_db,acme_corp,leads,assigned_to,ecommerce_db,acme_corp,employees,employee_id
ecommerce_db,acme_corp,leads,campaign_id,ecommerce_db,acme_corp,campaigns,campaign_id
ecommerce_db,acme_corp,leads,converted_customer_id,ecommerce_db,acme_corp,customers,customer_id
ecommerce_db,acme_corp,opportunities,customer_id,ecommerce_db,acme_corp,customers,customer_id
ecommerce_db,acme_corp,opportunities,owner_employee_id,ecommerce_db,acme_corp,employees,employee_id
ecommerce_db,acme_corp,opportunities,source_lead_id,ecommerce_db,acme_corp,leads,lead_id
ecommerce_db,acme_corp,order_items,order_id,ecommerce_db,acme_corp,orders,order_id
ecommerce_db,acme_corp,order_items,product_id,ecommerce_db,acme_corp,products,product_id
ecommerce_db,acme_corp,orders,customer_id,ecommerce_db,acme_corp,customers,customer_id
ecommerce_db,acme_corp,orders,placed_by_contact_id,ecommerce_db,acme_corp,customer_contacts,contact_id
ecommerce_db,acme_corp,orders,sales_rep_id,ecommerce_db,acme_corp,employees,employee_id
ecommerce_db,acme_corp,payments,customer_id,ecommerce_db,acme_corp,customers,customer_id
ecommerce_db,acme_corp,payments,invoice_id,ecommerce_db,acme_corp,invoices,invoice_id
ecommerce_db,acme_corp,performance_reviews,employee_id,ecommerce_db,acme_corp,employees,employee_id
ecommerce_db,acme_corp,performance_reviews,reviewer_id,ecommerce_db,acme_corp,employees,employee_id
ecommerce_db,acme_corp,products,category_id,ecommerce_db,acme_corp,product_categories,category_id
ecommerce_db,acme_corp,project_assignments,employee_id,ecommerce_db,acme_corp,employees,employee_id
ecommerce_db,acme_corp,project_assignments,project_id,ecommerce_db,acme_corp,projects,project_id
ecommerce_db,acme_corp,projects,department_id,ecommerce_db,acme_corp,departments,department_id
ecommerce_db,acme_corp,projects,project_lead_id,ecommerce_db,acme_corp,employees,employee_id
ecommerce_db,acme_corp,quotes,created_by,ecommerce_db,acme_corp,employees,employee_id
ecommerce_db,acme_corp,quotes,opportunity_id,ecommerce_db,acme_corp,opportunities,opportunity_id
ecommerce_db,acme_corp,sales_activities,contact_id,ecommerce_db,acme_corp,customer_contacts,contact_id
ecommerce_db,acme_corp,sales_activities,employee_id,ecommerce_db,acme_corp,employees,employee_id
ecommerce_db,acme_corp,sales_activities,lead_id,ecommerce_db,acme_corp,leads,lead_id
ecommerce_db,acme_corp,sales_activities,opportunity_id,ecommerce_db,acme_corp,opportunities,opportunity_id
ecommerce_db,acme_corp,subscriptions,customer_id,ecommerce_db,acme_corp,customers,customer_id
ecommerce_db,acme_corp,subscriptions,owner_employee_id,ecommerce_db,acme_corp,employees,employee_id
ecommerce_db,acme_corp,subscriptions,product_id,ecommerce_db,acme_corp,products,product_id
ecommerce_db,acme_corp,support_tickets,assigned_to,ecommerce_db,acme_corp,employees,employee_id
ecommerce_db,acme_corp,support_tickets,contact_id,ecommerce_db,acme_corp,customer_contacts,contact_id
ecommerce_db,acme_corp,support_tickets,customer_id,ecommerce_db,acme_corp,customers,customer_id
ecommerce_db,acme_corp,teams,department_id,ecommerce_db,acme_corp,departments,department_id
ecommerce_db,acme_corp,ticket_comments,ticket_id,ecommerce_db,acme_corp,support_tickets,ticket_id
ecommerce_db,acme_corp,time_off_requests,employee_id,ecommerce_db,acme_corp,employees,employee_id
ecommerce_db,acme_corp,vendor_contracts,owner_employee_id,ecommerce_db,acme_corp,employees,employee_id
ecommerce_db,acme_corp,vendor_contracts,vendor_id,ecommerce_db,acme_corp,vendors,vendor_id
ecommerce_db,acme_corp,web_events,customer_id,ecommerce_db,acme_corp,customers,customer_id
