database_name,schema_name,table_name,column_name,glossary_name,category_name,term_name
ecommerce_db,acme_corp,subscriptions,arr_usd,acme_corp_glossary,revenue_and_billing,Annual Recurring Revenue (ARR)
ecommerce_db,acme_corp,subscriptions,mrr_usd,acme_corp_glossary,revenue_and_billing,Monthly Recurring Revenue (MRR)
ecommerce_db,acme_corp,subscriptions,status,acme_corp_glossary,revenue_and_billing,Churn
ecommerce_db,acme_corp,subscriptions,cancelled_date,acme_corp_glossary,revenue_and_billing,Churn
ecommerce_db,acme_corp,customers,status,acme_corp_glossary,revenue_and_billing,Churn
ecommerce_db,acme_corp,subscriptions,renewal_date,acme_corp_glossary,revenue_and_billing,Renewal Date
ecommerce_db,acme_corp,subscriptions,billing_cycle,acme_corp_glossary,revenue_and_billing,Billing Cycle
ecommerce_db,acme_corp,orders,total_usd,acme_corp_glossary,revenue_and_billing,Order Revenue
ecommerce_db,acme_corp,orders,subtotal_usd,acme_corp_glossary,revenue_and_billing,Order Revenue
ecommerce_db,acme_corp,orders,status,acme_corp_glossary,revenue_and_billing,Order Revenue
ecommerce_db,acme_corp,invoices,status,acme_corp_glossary,revenue_and_billing,Outstanding Invoice
ecommerce_db,acme_corp,invoices,due_date,acme_corp_glossary,revenue_and_billing,Outstanding Invoice
ecommerce_db,acme_corp,invoices,paid_at,acme_corp_glossary,revenue_and_billing,Outstanding Invoice
ecommerce_db,acme_corp,subscriptions,seats,acme_corp_glossary,revenue_and_billing,Seats
ecommerce_db,acme_corp,subscriptions,plan_name,acme_corp_glossary,revenue_and_billing,Plan
ecommerce_db,acme_corp,opportunities,stage,acme_corp_glossary,sales_and_pipeline,Pipeline Stage
ecommerce_db,acme_corp,opportunities,amount_usd,acme_corp_glossary,sales_and_pipeline,Deal Amount
ecommerce_db,acme_corp,quotes,total_amount_usd,acme_corp_glossary,sales_and_pipeline,Deal Amount
ecommerce_db,acme_corp,opportunities,probability,acme_corp_glossary,sales_and_pipeline,Win Probability
ecommerce_db,acme_corp,opportunities,amount_usd,acme_corp_glossary,sales_and_pipeline,Weighted Pipeline
ecommerce_db,acme_corp,opportunities,probability,acme_corp_glossary,sales_and_pipeline,Weighted Pipeline
ecommerce_db,acme_corp,opportunities,stage,acme_corp_glossary,sales_and_pipeline,Closed Won
ecommerce_db,acme_corp,opportunities,closed_at,acme_corp_glossary,sales_and_pipeline,Closed Won
ecommerce_db,acme_corp,opportunities,amount_usd,acme_corp_glossary,sales_and_pipeline,Bookings
ecommerce_db,acme_corp,opportunities,stage,acme_corp_glossary,sales_and_pipeline,Bookings
ecommerce_db,acme_corp,opportunities,closed_at,acme_corp_glossary,sales_and_pipeline,Bookings
ecommerce_db,acme_corp,opportunities,loss_reason,acme_corp_glossary,sales_and_pipeline,Loss Reason
ecommerce_db,acme_corp,quotes,discount_pct,acme_corp_glossary,sales_and_pipeline,Discount
ecommerce_db,acme_corp,opportunities,owner_employee_id,acme_corp_glossary,sales_and_pipeline,Account Executive (AE)
ecommerce_db,acme_corp,customers,account_owner_id,acme_corp_glossary,sales_and_pipeline,Account Executive (AE)
ecommerce_db,acme_corp,orders,sales_rep_id,acme_corp_glossary,sales_and_pipeline,Account Executive (AE)
ecommerce_db,acme_corp,opportunities,close_date,acme_corp_glossary,sales_and_pipeline,Close Date
ecommerce_db,acme_corp,opportunities,closed_at,acme_corp_glossary,sales_and_pipeline,Close Date
ecommerce_db,acme_corp,customers,segment,acme_corp_glossary,customer_and_account,Customer Segment
ecommerce_db,acme_corp,customers,lifetime_value_usd,acme_corp_glossary,customer_and_account,Lifetime Value (LTV)
ecommerce_db,acme_corp,customers,acquired_date,acme_corp_glossary,customer_and_account,Customer Acquisition Date
ecommerce_db,acme_corp,customers,health_score,acme_corp_glossary,customer_and_account,Health Score
ecommerce_db,acme_corp,customers,status,acme_corp_glossary,customer_and_account,Account Status
ecommerce_db,acme_corp,customer_contacts,is_primary,acme_corp_glossary,customer_and_account,Customer Contact
ecommerce_db,acme_corp,customer_contacts,is_decision_maker,acme_corp_glossary,customer_and_account,Customer Contact
ecommerce_db,acme_corp,customer_contacts,is_decision_maker,acme_corp_glossary,customer_and_account,Decision Maker
ecommerce_db,acme_corp,subscriptions,owner_employee_id,acme_corp_glossary,customer_and_account,Customer Success Manager (CSM)
ecommerce_db,acme_corp,customers,account_owner_id,acme_corp_glossary,customer_and_account,Customer Success Manager (CSM)
ecommerce_db,acme_corp,leads,source,acme_corp_glossary,marketing_and_demand_generation,Lead Source
ecommerce_db,acme_corp,leads,score,acme_corp_glossary,marketing_and_demand_generation,Lead Score
ecommerce_db,acme_corp,leads,status,acme_corp_glossary,marketing_and_demand_generation,Lead Conversion
ecommerce_db,acme_corp,leads,converted_customer_id,acme_corp_glossary,marketing_and_demand_generation,Lead Conversion
ecommerce_db,acme_corp,leads,converted_at,acme_corp_glossary,marketing_and_demand_generation,Lead Conversion
ecommerce_db,acme_corp,campaigns,channel,acme_corp_glossary,marketing_and_demand_generation,Campaign Channel
ecommerce_db,acme_corp,campaigns,budget_usd,acme_corp_glossary,marketing_and_demand_generation,Campaign Budget
ecommerce_db,acme_corp,campaigns,spend_usd,acme_corp_glossary,marketing_and_demand_generation,Campaign Budget
ecommerce_db,acme_corp,products,list_price_usd,acme_corp_glossary,product,List Price
ecommerce_db,acme_corp,products,cost_usd,acme_corp_glossary,product,Product Cost
ecommerce_db,acme_corp,products,category_id,acme_corp_glossary,product,Product Category
ecommerce_db,acme_corp,support_tickets,first_response_at,acme_corp_glossary,customer_success_and_support,First Response Time
ecommerce_db,acme_corp,support_tickets,created_at,acme_corp_glossary,customer_success_and_support,First Response Time
ecommerce_db,acme_corp,support_tickets,resolved_at,acme_corp_glossary,customer_success_and_support,Resolution Time
ecommerce_db,acme_corp,support_tickets,created_at,acme_corp_glossary,customer_success_and_support,Resolution Time
ecommerce_db,acme_corp,support_tickets,csat_score,acme_corp_glossary,customer_success_and_support,CSAT Score
ecommerce_db,acme_corp,support_tickets,priority,acme_corp_glossary,customer_success_and_support,Ticket Priority
ecommerce_db,acme_corp,employees,employment_status,acme_corp_glossary,people_and_hr,Headcount
ecommerce_db,acme_corp,employees,hire_date,acme_corp_glossary,people_and_hr,Headcount
ecommerce_db,acme_corp,employees,termination_date,acme_corp_glossary,people_and_hr,Headcount
ecommerce_db,acme_corp,employees,hire_date,acme_corp_glossary,people_and_hr,Hire Date
ecommerce_db,acme_corp,employees,hire_date,acme_corp_glossary,people_and_hr,Tenure
ecommerce_db,acme_corp,employees,termination_date,acme_corp_glossary,people_and_hr,Tenure
ecommerce_db,acme_corp,employee_role_history,start_date,acme_corp_glossary,people_and_hr,Tenure
