database_name,schema_name,table_name,glossary_name,category_name,term_name
ecommerce_db,acme_corp,subscriptions,acme_corp_glossary,revenue_and_billing,Annual Recurring Revenue (ARR)
ecommerce_db,acme_corp,subscriptions,acme_corp_glossary,revenue_and_billing,Monthly Recurring Revenue (MRR)
ecommerce_db,acme_corp,subscriptions,acme_corp_glossary,revenue_and_billing,Subscription
ecommerce_db,acme_corp,orders,acme_corp_glossary,revenue_and_billing,Order
ecommerce_db,acme_corp,invoices,acme_corp_glossary,revenue_and_billing,Invoice
ecommerce_db,acme_corp,payments,acme_corp_glossary,revenue_and_billing,Payment
ecommerce_db,acme_corp,opportunities,acme_corp_glossary,sales_and_pipeline,Opportunity
ecommerce_db,acme_corp,quotes,acme_corp_glossary,sales_and_pipeline,Quote
ecommerce_db,acme_corp,sales_activities,acme_corp_glossary,sales_and_pipeline,Sales Activity
ecommerce_db,acme_corp,customers,acme_corp_glossary,customer_and_account,Customer
ecommerce_db,acme_corp,customer_contacts,acme_corp_glossary,customer_and_account,Customer Contact
ecommerce_db,acme_corp,leads,acme_corp_glossary,marketing_and_demand_generation,Lead
ecommerce_db,acme_corp,campaigns,acme_corp_glossary,marketing_and_demand_generation,Campaign
ecommerce_db,acme_corp,web_events,acme_corp_glossary,marketing_and_demand_generation,Web Event
ecommerce_db,acme_corp,products,acme_corp_glossary,product,Product
ecommerce_db,acme_corp,product_categories,acme_corp_glossary,product,Product Category
ecommerce_db,acme_corp,order_items,acme_corp_glossary,product,Order Line Item
ecommerce_db,acme_corp,support_tickets,acme_corp_glossary,customer_success_and_support,Support Ticket
ecommerce_db,acme_corp,ticket_comments,acme_corp_glossary,customer_success_and_support,Ticket Comment
ecommerce_db,acme_corp,employees,acme_corp_glossary,people_and_hr,Employee
ecommerce_db,acme_corp,departments,acme_corp_glossary,people_and_hr,Department
ecommerce_db,acme_corp,job_titles,acme_corp_glossary,people_and_hr,Job Title
ecommerce_db,acme_corp,compensation,acme_corp_glossary,people_and_hr,Compensation Event
ecommerce_db,acme_corp,performance_reviews,acme_corp_glossary,people_and_hr,Performance Review
ecommerce_db,acme_corp,employee_role_history,acme_corp_glossary,people_and_hr,Role History
ecommerce_db,acme_corp,time_off_requests,acme_corp_glossary,people_and_hr,Time Off Request
ecommerce_db,acme_corp,employee_training,acme_corp_glossary,people_and_hr,Training Completion
ecommerce_db,acme_corp,offices,acme_corp_glossary,people_and_hr,Office
ecommerce_db,acme_corp,vendors,acme_corp_glossary,finance_and_procurement,Vendor
ecommerce_db,acme_corp,vendor_contracts,acme_corp_glossary,finance_and_procurement,Vendor Contract
ecommerce_db,acme_corp,projects,acme_corp_glossary,operations_and_projects,Project
ecommerce_db,acme_corp,project_assignments,acme_corp_glossary,operations_and_projects,Project Assignment
